Match Number,Round Number,Date,Location,Home Team,Away Team,Result
8,1,17/08/2025 14:00,Stamford Bridge,Chelsea,Crystal Palace,0 - 0
20,2,22/08/2025 20:00,London Stadium,West Ham,Chelsea,1 - 5
23,3,30/08/2025 12:30,Stamford Bridge,Chelsea,Fulham,2 - 0
33,4,13/09/2025 20:00,Gtech Community Stadium,Brentford,Chelsea,2 - 2
47,5,20/09/2025 17:30,Old Trafford,Man Utd,Chelsea,2 - 1
53,6,27/09/2025 15:00,Stamford Bridge,Chelsea,Brighton,1 - 3
65,7,04/10/2025 17:30,Stamford Bridge,Chelsea,Liverpool,2 - 1
77,8,18/10/2025 12:30,The City Ground,Nott'm Forest,Chelsea,0 - 3
85,9,25/10/2025 15:00,Stamford Bridge,Chelsea,Sunderland,1 - 2
99,10,01/11/2025 17:30,Tottenham Hotspur Stadium,Spurs,Chelsea,0 - 1
103,11,08/11/2025 20:00,Stamford Bridge,Chelsea,Wolves,3 - 0
114,12,22/11/2025 12:30,Turf Moor,Burnley,Chelsea,0 - 2
123,13,30/11/2025 16:30,Stamford Bridge,Chelsea,Arsenal,1 - 1
136,14,03/12/2025 20:15,Elland Road,Leeds,Chelsea,3 - 1
142,15,06/12/2025 15:00,Vitality Stadium,Bournemouth,Chelsea,0 - 0
154,16,13/12/2025 15:00,Stamford Bridge,Chelsea,Everton,2 - 0
168,17,20/12/2025 12:30,St. James' Park,Newcastle,Chelsea,2 - 2
174,18,27/12/2025 17:30,Stamford Bridge,Chelsea,Aston Villa,1 - 2
184,19,30/12/2025 19:30,Stamford Bridge,Chelsea,Bournemouth,2 - 2
197,20,04/01/2026 17:30,Etihad Stadium,Man City,Chelsea,1 - 1
207,21,07/01/2026 19:30,Craven Cottage,Fulham,Chelsea,2 - 1
213,22,17/01/2026 15:00,Stamford Bridge,Chelsea,Brentford,2 - 0
225,23,25/01/2026 14:00,Selhurst Park,Crystal Palace,Chelsea,1 - 3
233,24,31/01/2026 17:30,Stamford Bridge,Chelsea,West Ham,
250,25,07/02/2026 15:00,Molineux Stadium,Wolves,Chelsea,
253,26,10/02/2026 19:30,Stamford Bridge,Chelsea,Leeds,
263,27,21/02/2026 15:00,Stamford Bridge,Chelsea,Burnley,
271,28,01/03/2026 16:30,Emirates Stadium,Arsenal,Chelsea,
281,29,04/03/2026 19:30,Villa Park,Aston Villa,Chelsea,
294,30,14/03/2026 17:30,Stamford Bridge,Chelsea,Newcastle,
304,31,21/03/2026 17:30,Hill Dickinson Stadium,Everton,Chelsea,
314,32,11/04/2026 15:00,Stamford Bridge,Chelsea,Man City,
323,33,18/04/2026 15:00,Stamford Bridge,Chelsea,Man Utd,
333,34,25/04/2026 15:00,American Express Stadium,Brighton,Chelsea,
345,35,02/05/2026 15:00,Stamford Bridge,Chelsea,Nott'm Forest,
355,36,09/05/2026 15:00,Anfield,Liverpool,Chelsea,
365,37,17/05/2026 15:00,Stamford Bridge,Chelsea,Spurs,
378,38,24/05/2026 16:00,Stadium of Light,Sunderland,Chelsea,
